Arrt;Code;Bibliothèques de prêt;prêts adultes;dont prolongations bib;dont prolongations portail;prêts discothèque;dont prolongations bib;dont prolongations portail;prêts jeunesse;dont prolongations bib;dont prolongations portail;prêts vidéothèque;dont prolongations bib;dont prolongations portail;prêts fds spéc. / partitions / réserve;dont prolongations bib;dont prolongations portail;prêts pôles thém. / langues;dont prolongations bib;dont prolongations portail;Prêts documents de la Réserve Centrale;dont prolongations bib;TOTAL;Dont prêts automates;;;;;
18;59;Goutte d'Or; 	2   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	3   ; 	-00   ;;;;;
15;75;Gutenberg; 	826   ; 	41   ; 	102   ; 	-00   ; 	-00   ; 	-00   ; 	9.159   ; 	246   ; 	918   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	65   ; 	5   ; 	10.050   ; 	-00   ;;;;;
12;12;Hélène Berr; 	18.367   ; 	574   ; 	2.529   ; 	6.468   ; 	145   ; 	835   ; 	10.457   ; 	288   ; 	1.525   ; 	5.890   ; 	125   ; 	537   ; 	1.383   ; 	59   ; 	407   ; 	-00   ; 	-00   ; 	-00   ; 	271   ; 	21   ; 	42.836   ; 	34.913   ;;;;;
19;57;Hergé; 	-00   ; 	-00   ; 	-00   ; 	4.349   ; 	47   ; 	454   ; 	5.367   ; 	159   ; 	400   ; 	79   ; 	1   ; 	15   ; 	356   ; 	7   ; 	84   ; 	-00   ; 	-00   ; 	-00   ; 	74   ; 	2   ; 	10.225   ; 	-00   ;;;;;
5;21;Heure Joyeuse; 	-00   ; 	-00   ; 	-00   ; 	376   ; 	48   ; 	31   ; 	1.546   ; 	69   ; 	158   ; 	-00   ; 	-00   ; 	-00   ; 	23   ; 	2   ; 	2   ; 	-00   ; 	-00   ; 	-00   ; 	58   ; 	-00   ; 	2.003   ; 	-00   ;;;;;
4;61;Isle St Louis; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.089   ; 	46   ; 	130   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	24   ; 	-00   ; 	1.113   ; 	-00   ;;;;;
13;13;Italie; 	8.725   ; 	238   ; 	1.041   ; 	1.526   ; 	35   ; 	188   ; 	4.608   ; 	106   ; 	582   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.212   ; 	39   ; 	306   ; 	217   ; 	8   ; 	16.288   ; 	-00   ;;;;;
13;52;Jean-Pierre Melville; 	13.762   ; 	486   ; 	1.884   ; 	6.541   ; 	160   ; 	689   ; 	10.665   ; 	271   ; 	1.008   ; 	5.308   ; 	126   ; 	427   ; 	380   ; 	10   ; 	77   ; 	1.519   ; 	55   ; 	157   ; 	323   ; 	10   ; 	38.498   ; 	32.151   ;;;;;
10;39;Lancry; 	-00   ; 	-00   ; 	-00   ; 	1.670   ; 	27   ; 	210   ; 	3.313   ; 	105   ; 	335   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	48   ; 	3   ; 	5.031   ; 	-00   ;;;;;
20;60;Louise Michel; 	4.655   ; 	155   ; 	428   ; 	655   ; 	53   ; 	32   ; 	5.515   ; 	176   ; 	333   ; 	2.466   ; 	83   ; 	198   ; 	106   ; 	3   ; 	8   ; 	-00   ; 	-00   ; 	-00   ; 	209   ; 	3   ; 	13.606   ; 	10.919   ;;;;;
1;1;Louvre; 	3.528   ; 	96   ; 	503   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	119   ; 	7   ; 	3.647   ; 	-00   ;;;;;
3;3;Marguerite Audoux; 	7.511   ; 	225   ; 	978   ; 	-00   ; 	-00   ; 	-00   ; 	4.063   ; 	120   ; 	416   ; 	3.850   ; 	55   ; 	451   ; 	209   ; 	5   ; 	39   ; 	302   ; 	6   ; 	77   ; 	402   ; 	20   ; 	16.337   ; 	-00   ;;;;;
20;20;Marguerite Duras; 	22.226   ; 	824   ; 	3.217   ; 	10.824   ; 	278   ; 	1.352   ; 	8.585   ; 	374   ; 	974   ; 	9.946   ; 	312   ; 	768   ; 	-00   ; 	-00   ; 	-00   ; 	328   ; 	14   ; 	63   ; 	580   ; 	30   ; 	52.489   ; 	41.820   ;;;;;
15;47;Marguerite Yourcenar; 	24.355   ; 	667   ; 	3.762   ; 	7.095   ; 	165   ; 	751   ; 	13.996   ; 	441   ; 	1.925   ; 	10.521   ; 	228   ; 	1.043   ; 	1   ; 	-00   ; 	-00   ; 	411   ; 	12   ; 	114   ; 	511   ; 	17   ; 	56.890   ; 	46.972   ;;;;;
18;78;Maurice Genevoix; 	269   ; 	20   ; 	41   ; 	-00   ; 	-00   ; 	-00   ; 	1.643   ; 	92   ; 	218   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	17   ; 	-00   ; 	1.929   ; 	-00   ;;;;;
1;80;MMP; 	-00   ; 	-00   ; 	-00   ; 	16.091   ; 	400   ; 	1.902   ; 	-00   ; 	-00   ; 	-00   ; 	2.123   ; 	56   ; 	335   ; 	5.992   ; 	252   ; 	1.324   ; 	-00   ; 	-00   ; 	-00   ; 	359   ; 	12   ; 	24.565   ; 	-00   ;;;;;
20;27;Mortier; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.425   ; 	15   ; 	93   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	10   ; 	-00   ; 	1.435   ; 	-00   ;;;;;
5;5;Mouffetard; 	10.950   ; 	369   ; 	1.540   ; 	3.566   ; 	50   ; 	502   ; 	2.316   ; 	63   ; 	193   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	206   ; 	9   ; 	17.038   ; 	-00   ;;;;;
16;23;Musset; 	1.901   ; 	74   ; 	89   ; 	-00   ; 	-00   ; 	-00   ; 	795   ; 	14   ; 	36   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	44   ; 	1   ; 	2.740   ; 	-00   ;;;;;
20;36;Oscar Wilde; 	5.040   ; 	209   ; 	524   ; 	1.310   ; 	26   ; 	129   ; 	2.549   ; 	127   ; 	290   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	646   ; 	6   ; 	115   ; 	173   ; 	3   ; 	9.718   ; 	-00   ;;;;;
18;;Pajol; 	7   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	4   ; 	3   ; 	11   ; 	-00   ;;;;;
11;58;Parmentier; 	14.635   ; 	418   ; 	1.845   ; 	4.584   ; 	82   ; 	503   ; 	7.999   ; 	183   ; 	551   ; 	5.925   ; 	109   ; 	469   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	325   ; 	9   ; 	33.468   ; 	-00   ;;;;;
4;99;Personnel; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ;;;;;
19;46;Place des Fêtes; 	3.460   ; 	128   ; 	332   ; 	1.137   ; 	76   ; 	97   ; 	2.889   ; 	60   ; 	118   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	183   ; 	11   ; 	7.669   ; 	-00   ;;;;;
18;29;Porte Montmartre; 	1.729   ; 	46   ; 	116   ; 	-00   ; 	-00   ; 	-00   ; 	910   ; 	50   ; 	57   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	40   ; 	1   ; 	2.679   ; 	-00   ;;;;;
5;48;Rainer Maria Rilke; 	7.786   ; 	237   ; 	1.072   ; 	2.843   ; 	69   ; 	329   ; 	3.197   ; 	37   ; 	301   ; 	2.387   ; 	36   ; 	231   ; 	-00   ; 	-00   ; 	-00   ; 	2.053   ; 	25   ; 	236   ; 	283   ; 	6   ; 	18.549   ; 	-00   ;;;;;
11;70;Réserve Centrale; 	1.611   ; 	7   ; 	1.527   ; 	501   ; 	1   ; 	252   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	31   ; 	-00   ; 	29   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	2.143   ; 	-00   ;;;;;
12;31;Saint-Eloi; 	5.141   ; 	218   ; 	728   ; 	1.043   ; 	20   ; 	91   ; 	3.078   ; 	106   ; 	306   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.093   ; 	68   ; 	273   ; 	96   ; 	6   ; 	10.451   ; 	-00   ;;;;;
8;;Saint-Lazare; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ;;;;;
7;7;Saint-Simon; 	3.670   ; 	95   ; 	416   ; 	653   ; 	14   ; 	46   ; 	1.083   ; 	77   ; 	99   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	95   ; 	7   ; 	5.501   ; 	-00   ;;;;;
20;26;Sorbier; 	1.720   ; 	43   ; 	185   ; 	-00   ; 	-00   ; 	-00   ; 	3.111   ; 	95   ; 	289   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	69   ; 	-00   ; 	4.900   ; 	-00   ;;;;;
9;28;Valeyre; 	2.489   ; 	90   ; 	486   ; 	616   ; 	41   ; 	108   ; 	1.006   ; 	27   ; 	159   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	290   ; 	16   ; 	71   ; 	55   ; 	4   ; 	4.456   ; 	-00   ;;;;;
14;40;Vandamme; 	4.839   ; 	142   ; 	599   ; 	2.584   ; 	74   ; 	299   ; 	2.251   ; 	92   ; 	272   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	592   ; 	42   ; 	109   ; 	177   ; 	6   ; 	10.443   ; 	-00   ;;;;;
