Arrt;Code;Bibliothèques;prêts adultes;dont prolongations bib;dont prolongations portail;prêts discothèque;dont prolongations bib;dont prolongations portail;prêts jeunesse;dont prolongations bib;dont prolongations portail;prêts vidéothèque;dont prolongations bib;dont prolongations portail;prêts fds spéc. / partitions / réserve;dont prolongations bib;dont prolongations portail;prêts pôles thém. / langues;dont prolongations bib;dont prolongations portail;Prêts documents de la Réserve Centrale;dont prolongations bib;TOTAL;Dont prêts automates;;;;;
4;61;Isle St Louis; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	2.130   ; 	56   ; 	88   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	11   ; 	-00   ; 	2.141   ; 	-00   ;;;;;
13;13;Italie; 	11.905   ; 	476   ; 	1.731   ; 	2.741   ; 	62   ; 	354   ; 	8.996   ; 	172   ; 	572   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.805   ; 	79   ; 	462   ; 	212   ; 	10   ; 	25.659   ; 	-00   ;;;;;
13;52;Jean-Pierre Melville; 	19.660   ; 	837   ; 	3.391   ; 	10.925   ; 	252   ; 	1.039   ; 	14.481   ; 	365   ; 	1.392   ; 	6.935   ; 	133   ; 	586   ; 	630   ; 	20   ; 	157   ; 	2.581   ; 	140   ; 	380   ; 	296   ; 	12   ; 	55.508   ; 	-00   ;;;;;
1;43;La Fontaine; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	30   ; 	1   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1   ; 	-00   ; 	31   ; 	-00   ;;;;;
10;39;Lancry; 	-00   ; 	-00   ; 	-00   ; 	3.371   ; 	63   ; 	295   ; 	7.602   ; 	239   ; 	356   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	63   ; 	1   ; 	11.036   ; 	-00   ;;;;;
1;1;Louvre; 	4.121   ; 	200   ; 	781   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	114   ; 	18   ; 	4.235   ; 	-00   ;;;;;
3;3;Marguerite Audoux; 	2.840   ; 	40   ; 	584   ; 	-00   ; 	-00   ; 	-00   ; 	1.586   ; 	22   ; 	156   ; 	1.592   ; 	22   ; 	311   ; 	98   ; 	2   ; 	25   ; 	121   ; 	1   ; 	27   ; 	45   ; 	5   ; 	6.282   ; 	-00   ;;;;;
20;20;Marguerite Duras; 	30.585   ; 	979   ; 	4.451   ; 	18.771   ; 	256   ; 	1.782   ; 	19.426   ; 	391   ; 	1.279   ; 	13.846   ; 	272   ; 	966   ; 	-00   ; 	-00   ; 	-00   ; 	494   ; 	28   ; 	102   ; 	535   ; 	21   ; 	83.657   ; 	64.993   ;;;;;
15;47;Marguerite Yourcenar; 	28.735   ; 	974   ; 	5.142   ; 	10.693   ; 	198   ; 	1.015   ; 	21.862   ; 	468   ; 	2.042   ; 	13.246   ; 	252   ; 	1.136   ; 	-00   ; 	-00   ; 	-00   ; 	796   ; 	27   ; 	135   ; 	327   ; 	24   ; 	75.659   ; 	61.916   ;;;;;
18;78;Maurice Genevoix; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	5.868   ; 	189   ; 	305   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	28   ; 	3   ; 	5.896   ; 	-00   ;;;;;
1;80;MMP; 	-00   ; 	-00   ; 	-00   ; 	28.503   ; 	409   ; 	2.594   ; 	-00   ; 	-00   ; 	-00   ; 	3.232   ; 	78   ; 	326   ; 	5.498   ; 	142   ; 	900   ; 	4.164   ; 	150   ; 	795   ; 	323   ; 	28   ; 	41.720   ; 	-00   ;;;;;
20;27;Mortier; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.814   ; 	41   ; 	52   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	4   ; 	-00   ; 	1.818   ; 	-00   ;;;;;
5;5;Mouffetard; 	19.127   ; 	852   ; 	2.947   ; 	6.246   ; 	231   ; 	696   ; 	5.541   ; 	166   ; 	400   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	283   ; 	13   ; 	31.197   ; 	-00   ;;;;;
16;23;Musset; 	2.544   ; 	125   ; 	217   ; 	-00   ; 	-00   ; 	-00   ; 	1.575   ; 	48   ; 	89   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	52   ; 	7   ; 	4.171   ; 	-00   ;;;;;
11;58;Parmentier; 	22.067   ; 	882   ; 	3.295   ; 	8.595   ; 	175   ; 	744   ; 	16.239   ; 	449   ; 	1.173   ; 	8.265   ; 	126   ; 	678   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	367   ; 	32   ; 	55.533   ; 	-00   ;;;;;
4;99;Personnel; 	1.593   ; 	66   ; 	186   ; 	-00   ; 	-00   ; 	-00   ; 	73   ; 	6   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	38   ; 	5   ; 	11   ; 	17   ; 	2   ; 	-00   ; 	20   ; 	3   ; 	1.741   ; 	-00   ;;;;;
12;12;Picpus; 	25.869   ; 	758   ; 	4.742   ; 	12.050   ; 	313   ; 	1.575   ; 	20.389   ; 	500   ; 	1.941   ; 	9.423   ; 	171   ; 	914   ; 	2.628   ; 	110   ; 	780   ; 	-00   ; 	-00   ; 	-00   ; 	351   ; 	28   ; 	70.710   ; 	57.062   ;;;;;
19;46;Place des Fêtes; 	4.589   ; 	227   ; 	492   ; 	1.854   ; 	37   ; 	250   ; 	4.207   ; 	71   ; 	162   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	147   ; 	11   ; 	10.797   ; 	-00   ;;;;;
14;41;Plaisance; 	5.803   ; 	260   ; 	720   ; 	1.676   ; 	55   ; 	190   ; 	4.828   ; 	116   ; 	382   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	84   ; 	5   ; 	12.391   ; 	-00   ;;;;;
18;29;Porte Montmartre; 	2.624   ; 	132   ; 	308   ; 	-00   ; 	-00   ; 	-00   ; 	2.855   ; 	60   ; 	252   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	18   ; 	6   ; 	5.497   ; 	-00   ;;;;;
5;48;Port-Royal; 	10.619   ; 	352   ; 	1.758   ; 	5.203   ; 	108   ; 	735   ; 	6.356   ; 	86   ; 	507   ; 	2.247   ; 	32   ; 	254   ; 	-00   ; 	-00   ; 	-00   ; 	2.526   ; 	48   ; 	379   ; 	170   ; 	3   ; 	27.121   ; 	-00   ;;;;;
11;70;Réserve Centrale; 	2.431   ; 	8   ; 	2.244   ; 	390   ; 	3   ; 	320   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	48   ; 	-00   ; 	44   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	2.869   ; 	-00   ;;;;;
20;60;Réunion; 	84   ; 	9   ; 	16   ; 	-00   ; 	-00   ; 	-00   ; 	69   ; 	-00   ; 	-00   ; 	409   ; 	1   ; 	-00   ; 	46   ; 	1   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	608   ; 	-00   ;;;;;
12;31;Saint-Eloi; 	6.687   ; 	302   ; 	1.171   ; 	1.984   ; 	74   ; 	334   ; 	4.661   ; 	127   ; 	375   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.356   ; 	62   ; 	405   ; 	84   ; 	11   ; 	14.772   ; 	-00   ;;;;;
20;36;Saint-Fargeau; 	7.085   ; 	312   ; 	741   ; 	2.354   ; 	91   ; 	202   ; 	5.651   ; 	143   ; 	331   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.345   ; 	144   ; 	270   ; 	182   ; 	21   ; 	16.617   ; 	-00   ;;;;;
7;7;Saint-Simon; 	4.198   ; 	206   ; 	617   ; 	1.124   ; 	55   ; 	113   ; 	2.669   ; 	161   ; 	118   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	87   ; 	6   ; 	8.078   ; 	-00   ;;;;;
20;26;Sorbier; 	2.465   ; 	133   ; 	250   ; 	-00   ; 	-00   ; 	-00   ; 	7.453   ; 	281   ; 	340   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	64   ; 	14   ; 	9.982   ; 	-00   ;;;;;
16;16;Trocadéro; 	11.606   ; 	424   ; 	1.873   ; 	4.024   ; 	124   ; 	503   ; 	10.354   ; 	317   ; 	1.025   ; 	-00   ; 	-00   ; 	-00   ; 	3.458   ; 	164   ; 	760   ; 	2.345   ; 	113   ; 	643   ; 	281   ; 	8   ; 	32.068   ; 	-00   ;;;;;
9;28;Valeyre; 	9.518   ; 	368   ; 	1.293   ; 	4.152   ; 	92   ; 	420   ; 	8.025   ; 	212   ; 	605   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	886   ; 	40   ; 	187   ; 	257   ; 	19   ; 	22.838   ; 	-00   ;;;;;
14;40;Vandamme; 	6.121   ; 	305   ; 	956   ; 	3.703   ; 	79   ; 	441   ; 	4.079   ; 	132   ; 	454   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	641   ; 	39   ; 	226   ; 	121   ; 	5   ; 	14.665   ; 	-00   ;;;;;
15;15;Vaugirard; 	8.016   ; 	280   ; 	1.079   ; 	938   ; 	40   ; 	103   ; 	5.432   ; 	126   ; 	440   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	392   ; 	16   ; 	109   ; 	105   ; 	8   ; 	14.883   ; 	-00   ;;;;;
Total Vsmart;;; 	455.244   ; 	17.328   ; 	72.458   ; 	206.504   ; 	4.390   ; 	22.551   ; 	398.233   ; 	10.767   ; 	30.335   ; 	104.494   ; 	1.963   ; 	9.383   ; 	14.371   ; 	530   ; 	3.163   ; 	25.399   ; 	1.157   ; 	5.771   ; 	8.964   ; 	650   ; 	1.213.209   ; 	254.356   ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Détail prêts de la Réserve Centrale;;; 	8.652   ;;; 	3.004   ;;; 	-00   ;;; 	-00   ;;; 	177   ;;; 	-00   ;;; 	-00   ;; 	11.833   ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arrt;Code;Bibliothèques;Prêts;;;;;;Renouv;;;;;;Consultation;;;Total prêts;;;;;;% prêts automates;;;;;
;;;Automates;;;Autres;;;Automates;;;Autres;;;;;;Automates;;;Autres;;Total;;;;;;
5;33;Buffon Centre de Documentation; 	-00   ; 	-00   ; 	-00   ; 	1.177   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	568   ; 	-00   ; 	-00   ; 	-00   ;;; 	-00   ;;; 	1.745   ;; 	1.745   ;0,0 %;;;;;
1;69;Cinéma François Truffaut; 	15.215   ; 	-00   ; 	-00   ; 	1.841   ; 	-00   ; 	-00   ; 	259   ; 	-00   ; 	-00   ; 	1.734   ; 	-00   ; 	-00   ; 	170   ;;; 	15.474   ;;; 	3.575   ;; 	19.049   ;81,2 %;;;;;
4;97;Forney; 	-00   ; 	-00   ; 	-00   ; 	3.272   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.189   ; 	-00   ; 	-00   ; 	-00   ;;; 	-00   ;;; 	4.461   ;; 	4.461   ;0,0 %;;;;;
Total Portfolio;;; 	15.215   ;;; 	6.290   ;;; 	259   ;;; 	3.491   ;;; 	170   ;;; 	15.474   ;;; 	9.781   ;; 	25.255   ;61,3 %;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arrt;Code;Bibliothèques;TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Vsmart + Portfolio;;;1.238.464;;;;;;;;;;;;;;;;;;;;;;;;;;
